Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
all diamonds,$340.83,89,476,0.00,"(all diamonds, all diamonds elsternwick, all diamonds melbourne)"
ring,$58.09,31,401,0.00,"(3 carat diamond ring, 2 carat diamond ring, darry ring australia)"
diamond,$42.91,23,278,0.00,"(3 carat diamond ring, 2 carat diamond ring, solitaire diamond ring)"
engagement,$47.20,27,261,0.00,"(michael hill engagement rings, diamond engagement rings, cartier engagement ring)"
rings,$38.26,22,158,0.00,"(michael hill engagement rings, diamond engagement rings, engagement rings michael hill)"
carat,$22.93,12,133,0.00,"(3 carat diamond ring, 2 carat diamond ring, 5 carat diamond ring)"
elsternwick,$137.26,18,108,0.00,"(all diamonds elsternwick, elsternwick jewellers, all diamonds melbourne riddell parade elsternwick vic)"
melbourne,$72.27,19,97,0.00,"(all diamonds melbourne, engagement rings melbourne, antique engagement rings melbourne)"
michael hill,$11.36,7,81,0.00,"(michael hill engagement rings, engagement rings michael hill, michael hill engagement ring)"
3 carat,$6.87,4,42,0.00,"(3 carat diamond ring, 3 carat diamond ring price australia, 3 carat diamond ring price)"
2 carat,$7.85,4,37,0.00,"(2 carat diamond ring, 2 carat diamond ring price australia, 2 carat natural diamond ring)"
price,$9.31,5,35,0.00,"(darry ring price, 2 carat diamond ring price australia, 3 carat diamond ring price australia)"
solitaire,$6.45,3,35,0.00,"(solitaire diamond ring, solitaire ring, solitaire engagement ring)"
australia,$8.54,5,32,0.00,"(darry ring australia, 2 carat diamond ring price australia, 3 carat diamond ring price australia)"
darry ring,$11.00,6,25,0.00,"(darry ring australia, darry ring price)"
cut,$0.00,0,24,0.00,"(princess cut diamond ring, emerald cut diamond ring, emerald cut diamond ring michael hill)"
natural,$1.60,1,21,0.00,"(natural diamond engagement rings, 2 carat natural diamond ring, 3 carat diamond ring natural)"
harry winston,$4.38,2,20,0.00,"(harry winston ring, harry winston engagement ring, harry winston rings)"
marquise,$1.70,1,19,0.00,"(marquise diamond, marquise diamond ring, east west marquise ring)"
